Location,Cage,Cabinet,Rack Units,Elevation,Number of Rack Units,Power Status,FQDN,Manufacturer,Model,Serial Number,Asset Tag,Busines Service,Type of Power,Voltage,Comments
Amsterdam-EUN Networks,,B6,"28,29,30,31",31,4,,aenrq11506b,Cisco,11500,JMX1203L12M,12091,,,,
Amsterdam-EUN Networks,,B6,"38,39,40",40,3,,,Cisco,3845-MB,,142766,,,,
Amsterdam-EUN Networks,,B6,"42,43",43,2,,aenrq2200la2,,AX2200,,,,,,
Amsterdam-EUN Networks,,B6,24,24,1,,aerpprqdb2,HP,ProLiant DL360 G5,JMX1138200B,,,,,
Amsterdam-EUN Networks,,B6,22,22,1,,aenrppren2,HP,ProLiant DL360 G5,CZJ802A63F,,,,,
Amsterdam-EUN Networks,,B6,21,21,1,,aenrppren4,HP,ProLiant DL360 G5,CZJ802A631,,,,,
Amsterdam-EUN Networks,,B6,18,18,1,,aenrpprzt2,HP,ProLiant DL360 G5,CZJ802A3FE,,,,,
Amsterdam-EUN Networks,,B6,15,15,1,,aenrpprxm2,HP,ProLiant DL360 G7,CZJ802A63H,151882,,,,
Amsterdam-EUN Networks,,B6,"34,35,36,37",37,4,,aenrq6504b,Cisco,WSC6504-E,FCZ1248A067,12099,,,,
Amsterdam-EUN Networks,,B6,33,33,1,,aenrq5550a2,COMMS,,F0X1152GAAD,,,,,
Amsterdam-EUN Networks,,B6,32,32,1,,aenrq5550b2,COMMS,,JMX1203L12T,,,,,
Amsterdam-EUN Networks,,B7,22,22,1,,aenrpprqdb3,HP,ProLiant DL380 G8,USE152PJD,156099,,,,
Amsterdam-EUN Networks,,B7,20,20,1,,aenrpprqdb4,HP,ProLiant DL380 G8,MXQ2491PW1,156098,,,,
Amsterdam-EUN Networks,,B7,"16,17",17,2,,,SUN,X4270,MXQ2491PW2,144581,,,,
Amsterdam-NLD-LVLT,,1.25.02,41,41,1,,sw-ams01-01,HP,E3800,SG25G0V2DW,153924,,,,
Amsterdam-NLD-LVLT,,1.25.02,"18,19",19,2,off,,ARBOR ,Pravail APS 2000,,157921,,,,
Amsterdam-NLD-LVLT,,1.25.02,"15,16",16,2,on,dnsa-ams01-01,HP,ProLiant DL360p G8,CZJ3430WFT,157922,,,,
Amsterdam-NLD-LVLT,,1.25.02,"13,14",14,2,on,dnsa-ams01-02,HP,ProLiant DL360p G8,CZJ3430WG1,157923,,,,
Amsterdam-NLD-LVLT,,1.25.02,"38,39",39,2,on,resolver-ams01-01,HP,ProLiant DL385 G7,CZ3226N0NY,153919,,,,
Amsterdam-NLD-LVLT,,1.25.02,"35,36",36,2,on,resolver-ams01-02,HP,ProLiant DL385 G7,CZ3226N0P5,153920,,,,
Amsterdam-NLD-LVLT,,1.25.02,"32,33",33,2,on,uvm-ams01-01,HP,ProLiant DL385 G7,CZ3226N0LT,153921,,,,
Amsterdam-NLD-LVLT,,1.25.02,"29,30",30,2,on,uvm-ams01-02,HP,ProLiant DL385 G7,CZ3226N0M3,153922,,,,
Amsterdam-NLD-LVLT,,1.25.02,"26,27",27,2,on,xtldedge-ams01-01.prod.ultradne.net,HP,ProLiant DL385 G7,USE029NJCR,144875,,,,
Amsterdam-NLD-LVLT,,1.25.02,"25,26",26,2,off,xtldedge-ams01-02.prod.ultradns.net,HP,ProLiant DL385 G7,2UX90209K8,,,,,
Amsterdam-NLD-LVLT,,1.25.02,"23,24",24,2,off,xtldedge-amssp01-03.prod.ultradne.net,HP,ProLiant DL385 G7,USE030N158,144892,,,,
Amsterdam-NLD-LVLT,,1.25.02,"20,21",21,2,off,xtldedge-amssp01-02.prod.ultradne.net,HP,ProLiant DL385 G7,USE030N15L,144874,,,,
Amsterdam-NLD-LVLT,,1.25.02,"43,44",44,2,,rtr-ams01-01,Juniper,,JN11F9C22ADB,153923,,,,
Amsterdam-NLD-LVLT,,1.25.03,41,41,1,,sw-amssp01-01,HP,E3800,SG26G0V47N,153934,,,,
